name,layer,wc_r,wc_g,wc_b,num_splines,total_verts,bbmin_x,bbmin_y,bbmax_x,bbmax_y,width,height,center_x,center_y,area_approx
Layer:Site Plan$0$-u-site-fence,Site Plan$0$-u-site-fence,0,255,255,292,640,1.10417e+07,8.48464e+06,1.10524e+07,8.49097e+06,10730.0,6326.0,1.1047e+07,8.48781e+06,6.7878e+07
Layer:Site Plan$0$-u-site-wall,Site Plan$0$-u-site-wall,0,255,255,62,152,1.10413e+07,8.48528e+06,1.10415e+07,8.48713e+06,182.0,1848.0,1.10414e+07,8.48621e+06,336336.0
Layer:Site Plan$0$-u-site-fence,Site Plan$0$-u-site-fence,0,255,255,32,78,1.10413e+07,8.48532e+06,1.10413e+07,8.48709e+06,48.0,1776.0,1.10413e+07,8.4862e+06,85248.0
Layer:Site Plan$0$-u-site-wall,Site Plan$0$-u-site-wall,0,255,255,6,16,1.10461e+07,8.49113e+06,1.10462e+07,8.49114e+06,84.0,16.0,1.10461e+07,8.49114e+06,1344.0
Layer:Site Plan$0$-u-site-fence,Site Plan$0$-u-site-fence,0,255,255,6,14,1.10461e+07,8.4911e+06,1.10462e+07,8.49114e+06,84.0,32.0,1.10461e+07,8.49112e+06,2688.0
Layer:Site Plan$0$-u-site-wall,Site Plan$0$-u-site-wall,0,255,255,6,16,1.10458e+07,8.49113e+06,1.10459e+07,8.49114e+06,84.0,16.0,1.10459e+07,8.49113e+06,1344.0
Layer:Site Plan$0$-u-site-fence,Site Plan$0$-u-site-fence,0,255,255,6,14,1.10458e+07,8.4911e+06,1.10459e+07,8.49113e+06,84.0,32.0,1.10459e+07,8.49112e+06,2688.0
Layer:Site Plan$0$-u-site-wall,Site Plan$0$-u-site-wall,0,255,255,6,16,1.10456e+07,8.49112e+06,1.10456e+07,8.49114e+06,84.0,16.0,1.10456e+07,8.49113e+06,1344.0
Layer:Site Plan$0$-u-site-fence,Site Plan$0$-u-site-fence,0,255,255,6,14,1.10456e+07,8.4911e+06,1.10456e+07,8.49113e+06,84.0,32.0,1.10456e+07,8.49112e+06,2688.0
Layer:Site Plan$0$-u-site-wall,Site Plan$0$-u-site-wall,0,255,255,6,16,1.10451e+07,8.49112e+06,1.10452e+07,8.49114e+06,84.0,16.0,1.10452e+07,8.49113e+06,1344.0
Layer:Site Plan$0$-u-site-fence,Site Plan$0$-u-site-fence,0,255,255,6,14,1.10451e+07,8.4911e+06,1.10452e+07,8.49113e+06,84.0,32.0,1.10452e+07,8.49111e+06,2688.0
Layer:Site Plan$0$-u-site-wall,Site Plan$0$-u-site-wall,0,255,255,6,16,1.10449e+07,8.49112e+06,1.1045e+07,8.49114e+06,84.0,16.0,1.10449e+07,8.49113e+06,1344.0
Layer:Site Plan$0$-u-site-fence,Site Plan$0$-u-site-fence,0,255,255,6,14,1.10449e+07,8.4911e+06,1.1045e+07,8.49113e+06,84.0,32.0,1.10449e+07,8.49111e+06,2688.0
Layer:Site Plan$0$-u-site-wall,Site Plan$0$-u-site-wall,0,255,255,6,16,1.10446e+07,8.49112e+06,1.10447e+07,8.49113e+06,84.0,16.0,1.10447e+07,8.49113e+06,1344.0
Layer:Site Plan$0$-u-site-fence,Site Plan$0$-u-site-fence,0,255,255,6,14,1.10446e+07,8.49109e+06,1.10447e+07,8.49113e+06,84.0,32.0,1.10447e+07,8.49111e+06,2688.0
Layer:Site Plan$0$-u-site-wall,Site Plan$0$-u-site-wall,0,255,255,50,120,1.10413e+07,8.48754e+06,1.10414e+07,8.48886e+06,176.0,1320.0,1.10414e+07,8.4882e+06,232320.0
Layer:Site Plan$0$-u-site-fence,Site Plan$0$-u-site-fence,0,255,255,20,50,1.10413e+07,8.48758e+06,1.10413e+07,8.48883e+06,42.0,1244.0,1.10413e+07,8.4882e+06,52248.0
Layer:Site Plan$0$-u-site-wall,Site Plan$0$-u-site-wall,0,255,255,50,120,1.1043e+07,8.49096e+06,1.10444e+07,8.49113e+06,1320.0,176.0,1.10437e+07,8.49104e+06,232320.0
Layer:Site Plan$0$-u-site-fence,Site Plan$0$-u-site-fence,0,255,255,20,50,1.10431e+07,8.49108e+06,1.10443e+07,8.49112e+06,1244.0,42.0,1.10437e+07,8.4911e+06,52248.0
Layer:Site Plan$0$-u-site-wall,Site Plan$0$-u-site-wall,0,255,255,50,120,1.10478e+07,8.49099e+06,1.10491e+07,8.49116e+06,1320.0,176.0,1.10485e+07,8.49108e+06,232320.0
Layer:Site Plan$0$-u-site-fence,Site Plan$0$-u-site-fence,0,255,255,20,50,1.10479e+07,8.49111e+06,1.10491e+07,8.49116e+06,1244.0,42.0,1.10485e+07,8.49114e+06,52248.0
Layer:Site Plan$0$-u-site-wall,Site Plan$0$-u-site-wall,0,255,255,62,152,1.10414e+07,8.48911e+06,1.10416e+07,8.49096e+06,182.0,1848.0,1.10415e+07,8.49004e+06,336336.0
Layer:Site Plan$0$-u-site-fence,Site Plan$0$-u-site-fence,0,255,255,32,78,1.10414e+07,8.48915e+06,1.10415e+07,8.49092e+06,48.0,1776.0,1.10414e+07,8.49004e+06,85248.0
Layer:Site Plan$0$-u-site-wall,Site Plan$0$-u-site-wall,0,255,255,59,150,1.10528e+07,8.48832e+06,1.1053e+07,8.49044e+06,188.0,2114.0,1.10529e+07,8.48938e+06,397432.0
Layer:Site Plan$0$-u-site-fence,Site Plan$0$-u-site-fence,0,255,255,32,80,1.10529e+07,8.48836e+06,1.1053e+07,8.4904e+06,52.0,2040.0,1.10529e+07,8.48938e+06,106080.0
Layer:Site Plan$0$-u-site-wall,Site Plan$0$-u-site-wall,0,255,255,45,106,1.10528e+07,8.48702e+06,1.1053e+07,8.48808e+06,174.0,1056.0,1.10529e+07,8.48755e+06,183744.0
Layer:Site Plan$0$-u-site-fence,Site Plan$0$-u-site-fence,0,255,255,16,40,1.10529e+07,8.48706e+06,1.1053e+07,8.48804e+06,38.0,984.0,1.1053e+07,8.48755e+06,37392.0
Layer:Site Plan$0$-u-site-wall,Site Plan$0$-u-site-wall,0,255,255,6,16,1.1053e+07,8.4852e+06,1.1053e+07,8.48528e+06,16.0,84.0,1.1053e+07,8.48524e+06,1344.0
Layer:Site Plan$0$-u-site-fence,Site Plan$0$-u-site-fence,0,255,255,6,14,1.1053e+07,8.4852e+06,1.1053e+07,8.48528e+06,32.0,84.0,1.1053e+07,8.48524e+06,2688.0
Layer:Site Plan$0$-u-site-wall,Site Plan$0$-u-site-wall,0,255,255,6,16,1.1053e+07,8.48548e+06,1.1053e+07,8.48556e+06,16.0,84.0,1.1053e+07,8.48552e+06,1344.0
