block_type,count,bbox_w,bbox_h,layer,sample_x,sample_y,sample_z
TREE-SIMP-027,32,228.0,240.0,LP-TREE,1.10456e+07,8.48805e+06,0.0
TREE-DCID-109,58,236.0,241.0,LP-TREE,1.10457e+07,8.4892e+06,1.25235e-05
SHRUB-LRG-421,81,35.0,36.0,x-RL TH4-LP Block$0$LP-SHRB,1.10529e+07,8.48749e+06,-0.0155369
SHRUB-LRG-121,106,24.0,24.0,x-RL TH4-LP Block$0$LP-SHRB,1.10529e+07,8.48794e+06,-0.0052804
TREE-DCID-003,44,150.0,144.0,x-RL TH4-LP Block$0$LP-TREE,1.10529e+07,8.48744e+06,-0.00528034
TREE-SIMP-021,44,151.0,148.0,x-RL TH4-LP Block$0$LP-TREE,1.10529e+07,8.48786e+06,-0.0155255
SHRUB-LRG-241,483,24.0,24.0,x-RL TH4-LP Block$0$LP-SHRB,1.10519e+07,8.48805e+06,-0.00528041
SHRUB-LRG-003,220,26.0,25.0,x-RL TH4-LP Block$0$LP-SHRB,1.1052e+07,8.48728e+06,-0.00528032
TREE-SIMP-024,15,191.0,192.0,x-RL TH5-LP Block$0$LP-TREE,1.1048e+07,8.49106e+06,9.36943e-07
SHRUB-TROP-021,49,47.0,48.0,x-RL TH6-LP Block$0$LP-SHRB,1.10529e+07,8.48558e+06,-0.000310353
TREE-EVGR-001,64,122.0,120.0,x-Villa4-LP Block$0$LP-TREE,1.10583e+07,8.48739e+06,0.165598
TREE-SIMP-007,44,118.0,120.0,x-Villa4-LP Block$0$LP-TREE,1.10585e+07,8.48742e+06,0.165584
SHRUB-LRG-020,1033,18.0,18.0,LP-SHRB,1.10413e+07,8.48536e+06,0.0
TREE-PALM-011,14,142.0,136.0,LP-TREE,1.10477e+07,8.49073e+06,0.0
TREE-PALM-041,15,152.0,144.0,LP-TREE,1.10477e+07,8.49014e+06,0.0
TREE-SIMP-025,15,146.0,143.0,LP-TREE,1.10513e+07,8.48519e+06,0.0
TREE-SIMP-222,12,130.0,144.0,LP-TREE,1.10439e+07,8.48777e+06,0.0
TREE-SIMP-005,43,224.0,227.0,LP-TREE,1.10494e+07,8.48779e+06,0.0
TREE-SIMP-050,89,72.0,72.0,LP-TREE,1.10515e+07,8.48841e+06,0.0
TREE-DCID-450,9,238.0,240.0,LP-TREE,1.10445e+07,8.49107e+06,0.0
TREE-SIMP-125,42,122.0,119.0,LP-TREE,1.10496e+07,8.48951e+06,0.0
TREE-DCID-208,28,183.0,180.0,LP-TREE,1.10421e+07,8.48747e+06,0.0
SHRUB-TROP-045,14,48.0,48.0,x-Villa5-LP Block$0$LP-SHRB,1.1043e+07,8.48534e+06,0.110826
