block_type,category,count
TREE-SIMP-027,Plants_Trees,30
TREE-DCID-109,Plants_Trees,56
SHRUB-LRG-421,Plants_Shrubs,79
SHRUB-LRG-121,Plants_Shrubs,106
TREE-DCID-003,Plants_Trees,42
TREE-SIMP-021,Plants_Trees,42
SHRUB-LRG-241,Plants_Shrubs,483
SHRUB-LRG-003,Plants_Shrubs,220
TREE-SIMP-024,Plants_Trees,15
SHRUB-TROP-021,Plants_Shrubs,47
TREE-EVGR-001,Plants_Trees,62
TREE-SIMP-007,Plants_Trees,44
SHRUB-LRG-020,Plants_Shrubs,1031
TREE-PALM-011,Plants_Palms,12
TREE-PALM-041,Plants_Palms,13
TREE-SIMP-025,Plants_Trees,13
TREE-SIMP-222,Plants_Trees,10
TREE-SIMP-005,Plants_Trees,41
TREE-SIMP-050,Plants_Trees,87
TREE-DCID-450,Plants_Trees,7
TREE-SIMP-125,Plants_Trees,40
TREE-DCID-208,Plants_Trees,26
SHRUB-TROP-045,Plants_Shrubs,14
