name,class,layer,wirecolor,x,y,z,isGroupHead
Block:Site Plan,LinkComposite,-u-site-xref,(color 255 255 255),0.0,0.0,0.0,false
Layer:Site Plan$0$-u-site-fence,SplineShape,Site Plan$0$-u-site-fence,(color 0 255 255),1.1047e+07,8.48781e+06,0.798822,false
Block:Site Plan$0$K-05012  DP-LP 104 2011-03-11$0$ARROW,LinkComposite,Site Plan$0$-u-site-parking_strip,(color 0 255 255),1.10471e+07,8.48794e+06,0.0,false
Layer:Site Plan$0$-u-site-parking_strip,SplineShape,Site Plan$0$-u-site-parking_strip,(color 0 255 255),1.10472e+07,8.48788e+06,0.0,false
Block:Site Plan$0$K-05012  DP-LP 104 2011-03-11$0$ARROW,LinkComposite,Site Plan$0$-u-site-parking_strip,(color 0 255 255),1.10471e+07,8.48781e+06,0.0,false
Layer:Site Plan$0$-u-site-parking_strip,SplineShape,Site Plan$0$-u-site-parking_strip,(color 0 255 255),1.10471e+07,8.48787e+06,0.0,false
Block:Site Plan$0$K-05012  DP-LP 104 2011-03-11$0$ARROW,LinkComposite,Site Plan$0$-u-site-parking_strip,(color 0 255 255),1.10449e+07,8.4849e+06,4.49311e-05,false
Layer:Site Plan$0$-u-site-parking_strip,SplineShape,Site Plan$0$-u-site-parking_strip,(color 0 255 255),1.10449e+07,8.4849e+06,4.49311e-05,false
Block:Site Plan$0$K-05012  DP-LP 104 2011-03-11$0$ARROW,LinkComposite,Site Plan$0$-u-site-parking_strip,(color 0 255 255),1.1045e+07,8.48482e+06,3.44017e-05,false
Layer:Site Plan$0$-u-site-parking_strip,SplineShape,Site Plan$0$-u-site-parking_strip,(color 0 255 255),1.10449e+07,8.48482e+06,3.44017e-05,false
Block:Site Plan$0$K-05012  DP-LP 104 2011-03-11$0$ARROW,LinkComposite,Site Plan$0$-u-site-parking_strip,(color 0 255 255),1.10518e+07,8.48715e+06,-0.00111028,false
Layer:Site Plan$0$-u-site-parking_strip,SplineShape,Site Plan$0$-u-site-parking_strip,(color 0 255 255),1.10518e+07,8.48709e+06,-0.00111028,false
Block:Site Plan$0$K-05012  DP-LP 104 2011-03-11$0$ARROW,LinkComposite,Site Plan$0$-u-site-parking_strip,(color 0 255 255),1.10517e+07,8.48702e+06,-0.00111029,false
Layer:Site Plan$0$-u-site-parking_strip,SplineShape,Site Plan$0$-u-site-parking_strip,(color 0 255 255),1.10517e+07,8.48708e+06,-0.00111029,false
Block:Site Plan$0$K-05012  DP-LP 104 2011-03-11$0$ARROW,LinkComposite,Site Plan$0$-u-site-parking_strip,(color 0 255 255),1.10444e+07,8.4889e+06,-2.84096e-07,false
Layer:Site Plan$0$-u-site-parking_strip,SplineShape,Site Plan$0$-u-site-parking_strip,(color 0 255 255),1.10444e+07,8.48884e+06,-2.84096e-07,false
Block:Site Plan$0$K-05012  DP-LP 104 2011-03-11$0$ARROW,LinkComposite,Site Plan$0$-u-site-parking_strip,(color 0 255 255),1.10443e+07,8.48883e+06,-2.9013e-07,false
Layer:Site Plan$0$-u-site-parking_strip,SplineShape,Site Plan$0$-u-site-parking_strip,(color 0 255 255),1.10443e+07,8.48889e+06,-2.9013e-07,false
Block:Site Plan$0$K-05012  DP-LP 104 2011-03-11$0$ARROW,LinkComposite,Site Plan$0$-u-site-parking_strip,(color 0 255 255),1.10484e+07,8.48994e+06,0.0,false
Layer:Site Plan$0$-u-site-parking_strip,SplineShape,Site Plan$0$-u-site-parking_strip,(color 0 255 255),1.10485e+07,8.48995e+06,0.0,false
Block:Site Plan$0$K-05012  DP-LP 104 2011-03-11$0$ARROW,LinkComposite,Site Plan$0$-u-site-parking_strip,(color 0 255 255),1.10485e+07,8.48988e+06,0.0,false
Layer:Site Plan$0$-u-site-parking_strip,SplineShape,Site Plan$0$-u-site-parking_strip,(color 0 255 255),1.10485e+07,8.48988e+06,0.0,false
Block:Site Plan$0$K-05012  DP-LP 104 2011-03-11$0$ARROW,LinkComposite,Site Plan$0$-u-site-parking_strip,(color 0 255 255),1.1043e+07,8.48991e+06,0.0,false
Layer:Site Plan$0$-u-site-parking_strip,SplineShape,Site Plan$0$-u-site-parking_strip,(color 0 255 255),1.10431e+07,8.48991e+06,0.0,false
Block:Site Plan$0$K-05012  DP-LP 104 2011-03-11$0$ARROW,LinkComposite,Site Plan$0$-u-site-parking_strip,(color 0 255 255),1.10431e+07,8.48985e+06,0.0,false
Layer:Site Plan$0$-u-site-parking_strip,SplineShape,Site Plan$0$-u-site-parking_strip,(color 0 255 255),1.10431e+07,8.48984e+06,0.0,false
Block:Site Plan$0$K-05012  DP-LP 104 2011-03-11$0$ARROW,LinkComposite,Site Plan$0$-u-site-parking_strip,(color 0 255 255),1.10517e+07,8.48702e+06,0.0,false
Layer:Site Plan$0$-u-site-parking_strip,SplineShape,Site Plan$0$-u-site-parking_strip,(color 0 255 255),1.10517e+07,8.48708e+06,0.0,false
Layer:Site Plan$0$SP-PAVERS-BANDS,SplineShape,Site Plan$0$SP-PAVERS-BANDS,(color 118 118 118),1.10471e+07,8.4874e+06,0.00048282,false
Block:Site Plan$0$_Details_TH7_wall,LinkComposite,Site Plan$0$-u-site-wall,(color 0 255 255),1.10414e+07,8.48713e+06,-2.38122e-07,false
Layer:Site Plan$0$-u-site-wall,SplineShape,Site Plan$0$-u-site-wall,(color 0 255 255),1.10414e+07,8.48621e+06,0.0,false
Layer:Site Plan$0$-u-site-fence,SplineShape,Site Plan$0$-u-site-fence,(color 0 255 255),1.10413e+07,8.4862e+06,-2.38188e-07,false
Block:Site Plan$0$_Details_TH6_wall,LinkComposite,Site Plan$0$-u-site-wall,(color 0 255 255),1.10446e+07,8.491e+06,5.57805e-06,false
Layer:Site Plan$0$-u-site-wall,SplineShape,Site Plan$0$-u-site-wall,(color 0 255 255),1.10454e+07,8.49105e+06,3.36645e-06,false
Block:Site Plan$0$_Details_Kneewall&GATE,LinkComposite,Site Plan$0$-u-site-wall,(color 0 255 255),1.10462e+07,8.49114e+06,1.3658e-06,false
Layer:Site Plan$0$-u-site-wall,SplineShape,Site Plan$0$-u-site-wall,(color 0 255 255),1.10461e+07,8.49114e+06,2.06518e-06,false
Layer:Site Plan$0$-u-site-fence,SplineShape,Site Plan$0$-u-site-fence,(color 0 255 255),1.10461e+07,8.49112e+06,3.46394e-06,false
Block:Site Plan$0$_Details_Kneewall&GATE,LinkComposite,Site Plan$0$-u-site-wall,(color 0 255 255),1.10459e+07,8.49114e+06,1.3658e-06,false
Layer:Site Plan$0$-u-site-wall,SplineShape,Site Plan$0$-u-site-wall,(color 0 255 255),1.10459e+07,8.49113e+06,2.06518e-06,false
Layer:Site Plan$0$-u-site-fence,SplineShape,Site Plan$0$-u-site-fence,(color 0 255 255),1.10459e+07,8.49112e+06,3.46394e-06,false
Block:Site Plan$0$_Details_Kneewall&GATE,LinkComposite,Site Plan$0$-u-site-wall,(color 0 255 255),1.10456e+07,8.49114e+06,1.3658e-06,false
Layer:Site Plan$0$-u-site-wall,SplineShape,Site Plan$0$-u-site-wall,(color 0 255 255),1.10456e+07,8.49113e+06,2.06518e-06,false
Layer:Site Plan$0$-u-site-fence,SplineShape,Site Plan$0$-u-site-fence,(color 0 255 255),1.10456e+07,8.49112e+06,3.46394e-06,false
Block:Site Plan$0$_Details_Kneewall&GATE,LinkComposite,Site Plan$0$-u-site-wall,(color 0 255 255),1.10452e+07,8.49114e+06,1.3658e-06,false
Layer:Site Plan$0$-u-site-wall,SplineShape,Site Plan$0$-u-site-wall,(color 0 255 255),1.10452e+07,8.49113e+06,1.3658e-06,false
Layer:Site Plan$0$-u-site-fence,SplineShape,Site Plan$0$-u-site-fence,(color 0 255 255),1.10452e+07,8.49111e+06,1.3658e-06,false
Block:Site Plan$0$_Details_Kneewall&GATE,LinkComposite,Site Plan$0$-u-site-wall,(color 0 255 255),1.10449e+07,8.49114e+06,1.3658e-06,false
Layer:Site Plan$0$-u-site-wall,SplineShape,Site Plan$0$-u-site-wall,(color 0 255 255),1.10449e+07,8.49113e+06,1.3658e-06,false
Layer:Site Plan$0$-u-site-fence,SplineShape,Site Plan$0$-u-site-fence,(color 0 255 255),1.10449e+07,8.49111e+06,1.3658e-06,false
Block:Site Plan$0$_Details_Kneewall&GATE,LinkComposite,Site Plan$0$-u-site-wall,(color 0 255 255),1.10446e+07,8.49113e+06,1.3658e-06,false
Layer:Site Plan$0$-u-site-wall,SplineShape,Site Plan$0$-u-site-wall,(color 0 255 255),1.10447e+07,8.49113e+06,1.3658e-06,false
Layer:Site Plan$0$-u-site-fence,SplineShape,Site Plan$0$-u-site-fence,(color 0 255 255),1.10447e+07,8.49111e+06,1.3658e-06,false
Block:Site Plan$0$_Details_TH5_wall,LinkComposite,Site Plan$0$-u-site-wall,(color 0 255 255),1.10414e+07,8.48887e+06,0.0,false
Layer:Site Plan$0$-u-site-wall,SplineShape,Site Plan$0$-u-site-wall,(color 0 255 255),1.10414e+07,8.4882e+06,0.0,false
Layer:Site Plan$0$-u-site-fence,SplineShape,Site Plan$0$-u-site-fence,(color 0 255 255),1.10413e+07,8.4882e+06,0.0,false
Block:Site Plan$0$_Details_TH5_wall,LinkComposite,Site Plan$0$-u-site-wall,(color 0 255 255),1.10444e+07,8.491e+06,2.39661e-06,false
