dummy_name,species_code,layer
CE_001,CE,Plants_Trees
BU_001,BU,Plants_Trees
CES_001,CES,Plants_Shrubs
CES_002,CES,Plants_Shrubs
CES_003,CES,Plants_Shrubs
CES_004,CES,Plants_Shrubs
CHR_001,CHR,Plants_Shrubs
ED_001,ED,Plants_Trees
LJ_001,LJ,Plants_Trees
ED_002,ED,Plants_Trees
CHR_002,CHR,Plants_Shrubs
LJ_002,LJ,Plants_Trees
PSY_001,PSY,Plants_Shrubs
PSY_002,PSY,Plants_Shrubs
PSY_003,PSY,Plants_Shrubs
PSY_004,PSY,Plants_Shrubs
HAM_001,HAM,Plants_Shrubs
HAM_002,HAM,Plants_Shrubs
HAM_003,HAM,Plants_Shrubs
HAM_004,HAM,Plants_Shrubs
HAM_005,HAM,Plants_Shrubs
HAM_006,HAM,Plants_Shrubs
HAM_007,HAM,Plants_Shrubs
HAM_008,HAM,Plants_Shrubs
HAM_009,HAM,Plants_Shrubs
HAM_010,HAM,Plants_Shrubs
HAM_011,HAM,Plants_Shrubs
HAM_012,HAM,Plants_Shrubs
HAM_013,HAM,Plants_Shrubs
HAM_014,HAM,Plants_Shrubs
PSY_005,PSY,Plants_Shrubs
PSY_006,PSY,Plants_Shrubs
PSY_007,PSY,Plants_Shrubs
PSY_008,PSY,Plants_Shrubs
PSY_009,PSY,Plants_Shrubs
PSY_010,PSY,Plants_Shrubs
PSY_011,PSY,Plants_Shrubs
PSY_012,PSY,Plants_Shrubs
PSY_013,PSY,Plants_Shrubs
PSY_014,PSY,Plants_Shrubs
PSY_015,PSY,Plants_Shrubs
PSY_016,PSY,Plants_Shrubs
PSY_017,PSY,Plants_Shrubs
PSY_018,PSY,Plants_Shrubs
PSY_019,PSY,Plants_Shrubs
PSY_020,PSY,Plants_Shrubs
PSY_021,PSY,Plants_Shrubs
PSY_022,PSY,Plants_Shrubs
PSY_023,PSY,Plants_Shrubs
PSY_024,PSY,Plants_Shrubs
PSY_025,PSY,Plants_Shrubs
PSY_026,PSY,Plants_Shrubs
PSY_027,PSY,Plants_Shrubs
PSY_028,PSY,Plants_Shrubs
PSY_029,PSY,Plants_Shrubs
PSY_030,PSY,Plants_Shrubs
PSY_031,PSY,Plants_Shrubs
PSY_032,PSY,Plants_Shrubs
PSY_033,PSY,Plants_Shrubs
PSY_034,PSY,Plants_Shrubs
PSY_035,PSY,Plants_Shrubs
PSY_036,PSY,Plants_Shrubs
HAM_015,HAM,Plants_Shrubs
HAM_016,HAM,Plants_Shrubs
LJ_003,LJ,Plants_Trees
CHR_003,CHR,Plants_Shrubs
CG_001,CG,Plants_Trees
CHR_004,CHR,Plants_Shrubs
CG_002,CG,Plants_Trees
CES_005,CES,Plants_Shrubs
CES_006,CES,Plants_Shrubs
ED_003,ED,Plants_Trees
LJ_004,LJ,Plants_Trees
PSY_037,PSY,Plants_Shrubs
PSY_038,PSY,Plants_Shrubs
PSY_039,PSY,Plants_Shrubs
PSY_040,PSY,Plants_Shrubs
HAM_017,HAM,Plants_Shrubs
HAM_018,HAM,Plants_Shrubs
HAM_019,HAM,Plants_Shrubs
HAM_020,HAM,Plants_Shrubs
HAM_021,HAM,Plants_Shrubs
PSY_041,PSY,Plants_Shrubs
HAM_022,HAM,Plants_Shrubs
HAM_023,HAM,Plants_Shrubs
HAM_024,HAM,Plants_Shrubs
HAM_025,HAM,Plants_Shrubs
HAM_026,HAM,Plants_Shrubs
HAM_027,HAM,Plants_Shrubs
HAM_028,HAM,Plants_Shrubs
HAM_029,HAM,Plants_Shrubs
HAM_030,HAM,Plants_Shrubs
HAM_031,HAM,Plants_Shrubs
PSY_042,PSY,Plants_Shrubs
PSY_043,PSY,Plants_Shrubs
PSY_044,PSY,Plants_Shrubs
PSY_045,PSY,Plants_Shrubs
PSY_046,PSY,Plants_Shrubs
PSY_047,PSY,Plants_Shrubs
PSY_048,PSY,Plants_Shrubs
PSY_049,PSY,Plants_Shrubs
PSY_050,PSY,Plants_Shrubs
PSY_051,PSY,Plants_Shrubs
PSY_052,PSY,Plants_Shrubs
PSY_053,PSY,Plants_Shrubs
PSY_054,PSY,Plants_Shrubs
PSY_055,PSY,Plants_Shrubs
PSY_056,PSY,Plants_Shrubs
PSY_057,PSY,Plants_Shrubs
PSY_058,PSY,Plants_Shrubs
PSY_059,PSY,Plants_Shrubs
PSY_060,PSY,Plants_Shrubs
PSY_061,PSY,Plants_Shrubs
PSY_062,PSY,Plants_Shrubs
PSY_063,PSY,Plants_Shrubs
PSY_064,PSY,Plants_Shrubs
PSY_065,PSY,Plants_Shrubs
PSY_066,PSY,Plants_Shrubs
PSY_067,PSY,Plants_Shrubs
PSY_068,PSY,Plants_Shrubs
PSY_069,PSY,Plants_Shrubs
PSY_070,PSY,Plants_Shrubs
PSY_071,PSY,Plants_Shrubs
PSY_072,PSY,Plants_Shrubs
PSY_073,PSY,Plants_Shrubs
PSY_074,PSY,Plants_Shrubs
PSY_075,PSY,Plants_Shrubs
PSY_076,PSY,Plants_Shrubs
PSY_077,PSY,Plants_Shrubs
PSY_078,PSY,Plants_Shrubs
PSY_079,PSY,Plants_Shrubs
PSY_080,PSY,Plants_Shrubs
PSY_081,PSY,Plants_Shrubs
PSY_082,PSY,Plants_Shrubs
PSY_083,PSY,Plants_Shrubs
PSY_084,PSY,Plants_Shrubs
PSY_085,PSY,Plants_Shrubs
CES_007,CES,Plants_Shrubs
CES_008,CES,Plants_Shrubs
CES_009,CES,Plants_Shrubs
CES_010,CES,Plants_Shrubs
CHR_005,CHR,Plants_Shrubs
ED_004,ED,Plants_Trees
ED_005,ED,Plants_Trees
CHR_006,CHR,Plants_Shrubs
LJ_005,LJ,Plants_Trees
LJ_006,LJ,Plants_Trees
LJ_007,LJ,Plants_Trees
CRI_001,CRI,Plants_Shrubs
CRI_002,CRI,Plants_Shrubs
CG_003,CG,Plants_Trees
PSY_086,PSY,Plants_Shrubs
PSY_087,PSY,Plants_Shrubs
HAM_032,HAM,Plants_Shrubs
HAM_033,HAM,Plants_Shrubs
