area_name,cluster,source_layer,width,height,center_x,center_y
Area_TH4_001,TH4,x-RL TH4-LP Block$0$LP-SHAR-BRDR-CONT,997.042,915.885,5000.0,-487.0
Area_TH5_001,TH5,x-RL TH5-LP Block$0$LP-SHAR-BRDR-CONT,1179.13,1003.63,1065.99,2565.66
Area_TH6_001,TH6,x-RL TH6-LP Block$0$LP-SHAR-BRDR-CONT,1012.66,1443.12,5018.0,-2054.0
Area_TH7_001,TH7,x-RL TH7-LP Block$0$LP-SHAR-BRDR-CONT,1707.27,1006.15,2896.99,2577.66
Area_TH8_001,TH8,x-RL TH8-LP Block$0$LP-SHAR-BRDR-CONT,1013.85,1970.89,4996.0,1345.0
Area_Villa4_001,Villa4,x-Villa4-LP Block$0$LP-SHAR-BRDR-CONT,777.904,139.862,11221.0,-556.0
Area_TH7_002,TH7,x-RL TH7-LP Block$0$LP-SHAR-BRDR-CONT,1006.78,1707.63,-5433.66,2008.99
Area_TH7_003,TH7,x-RL TH7-LP Block$0$LP-SHAR-BRDR-CONT,1006.78,1707.63,-5562.66,-1823.01
Area_TH6_002,TH6,x-RL TH6-LP Block$0$LP-SHAR-BRDR-CONT,1442.5,1011.77,-2012.0,2550.0
Area_TH5_002,TH5,x-RL TH5-LP Block$0$LP-SHAR-BRDR-CONT,1179.13,1003.63,-3713.01,2534.66
Area_TH5_003,TH5,x-RL TH5-LP Block$0$LP-SHAR-BRDR-CONT,1004.53,1179.89,-5576.66,175.987
Area_Site_001,Site,LP-SHAR-BRDR-CONT,11735.0,6561.0,-262.5,-125.5
Area_Villa4_002,Villa4,x-Villa4-LP Block$0$LP-SHAR-BRDR-CONT,778.765,144.736,-2540.0,-2595.0
Area_Villa4_003,Villa4,x-Villa4-LP Block$0$LP-SHAR-BRDR-CONT,778.765,144.736,1999.0,-2567.0
Area_Villa4_004,Villa4,x-Villa4-LP Block$0$LP-SHAR-BRDR-CONT,778.78,144.821,-2550.0,-1113.0
Area_Villa4_005,Villa4,x-Villa4-LP Block$0$LP-SHAR-BRDR-CONT,778.78,144.821,1986.0,-1085.0
Area_Villa5_001,Villa5,x-Villa5-LP Block$0$LP-SHAR-BRDR-CONT,978.208,154.732,-3839.0,-2636.0
Area_Villa5_002,Villa5,x-Villa5-LP Block$0$LP-SHAR-BRDR-CONT,978.208,154.732,-1256.0,-2620.0
Area_Villa5_003,Villa5,x-Villa5-LP Block$0$LP-SHAR-BRDR-CONT,978.208,154.732,699.0,-2607.0
Area_Villa5_004,Villa5,x-Villa5-LP Block$0$LP-SHAR-BRDR-CONT,978.208,154.732,3283.0,-2591.0
Area_Villa5_005,Villa5,x-Villa5-LP Block$0$LP-SHAR-BRDR-CONT,978.208,154.732,3287.0,-1044.0
Area_Villa5_006,Villa5,x-Villa5-LP Block$0$LP-SHAR-BRDR-CONT,978.208,154.732,703.0,-1061.0
Area_Villa5_007,Villa5,x-Villa5-LP Block$0$LP-SHAR-BRDR-CONT,978.208,154.732,-1251.0,-1073.0
Area_Villa5_008,Villa5,x-Villa5-LP Block$0$LP-SHAR-BRDR-CONT,978.208,154.732,-3835.0,-1089.0
Area_Villa6_001,Villa6,x-Villa6-LP Block$0$LP-SHAR-BRDR-CONT,158.151,1195.4,-2533.0,699.0
Area_Villa6_002,Villa6,x-Villa6-LP Block$0$LP-SHAR-BRDR-CONT,158.152,1195.4,228.0,633.0
Area_Villa6_003,Villa6,x-Villa6-LP Block$0$LP-SHAR-BRDR-CONT,158.151,1195.4,2987.0,740.0
Area_Villa6_004,Villa6,x-Villa6-LP Block$0$LP-SHAR-BRDR-CONT,158.152,1195.4,1897.0,712.0
Area_Villa6_005,Villa6,x-Villa6-LP Block$0$LP-SHAR-BRDR-CONT,158.152,1195.4,-862.0,607.0
Area_Villa6_006,Villa6,x-Villa6-LP Block$0$LP-SHAR-BRDR-CONT,158.152,1195.4,-3623.0,671.0
